year,subject,school_name,school_type,group_id,group_code,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
,,湖南文理学院,普通,01,201,不限,历史,2,500,39267,5500,其他,否,eea.gd 官方
,,湘南学院,普通,01,201,不限,历史,4,495,42168,5500,其他,否,eea.gd 官方
,,湖南工商大学,普通,02,202,不限,历史,3,533,21562,5500,其他,否,eea.gd 官方
,,湖南工商大学                       &gt;&gt;,普通,01,201,不限,历史,1,531,22226,5500,其他,否,eea.gd 官方
,,湖南人文科技学院（中外合作办学） X,普通,02,?202,不限,历史,3,488,46645,5500,其他,否,eea.gd 官方
,,湖南人文科技学院,普通,01,201,不限,历史,5,495,41977,5500,其他,否,eea.gd 官方
,,湖南科技学院,普通,02,W202&gt;,不限,历史,6,496,41685,5500,其他,否,eea.gd 官方
,,湖南科技学院,普通,01,201,不限,历史,3,501,38543,5500,其他,否,eea.gd 官方
,,湖南文理学院,普通,02,202,不限,历史,12,499,39328,5500,其他,否,eea.gd 官方
,,湖南人文科技学院                     人,普通,03,203,不限,历史,5,499,39486,5500,其他,否,eea.gd 官方
,,怀化学院,普通,02,202,不限,历史,2,498,40400,5500,其他,否,eea.gd 官方
,,邵阳学院                         X,普通,03,203,不限,历史,4,493,43374,5500,其他,否,eea.gd 官方
,,邵阳学院,普通,02,202,不限,历史,6,498,39971,5500,其他,否,eea.gd 官方
,,邵阳学院,普通,01,201,不限,历史,2,495,42124,5500,其他,否,eea.gd 官方
,,衡阳师范学院,普通,03,203,不限,历史,2,496,41711,5500,其他,否,eea.gd 官方
,,衡阳师范学院,普通,02,202,不限,历史,12,498,40294,5500,其他,否,eea.gd 官方
,,怀化学院,普通,01,201,不限,历史,4,495,42110,5500,其他,否,eea.gd 官方
,,衡阳师范学院,普通,01,201,不限,历史,4,500,39214,5500,其他,否,eea.gd 官方
,,广州大学,普通,428,,首选历史，再选思想政治,历史,30,562,10647,5500,其他,否,555edu 逐校
,,星海音乐学院,普通,428,,（202）,历史,30,519,28228,5500,其他,否,555edu 逐校
,,广东技术师范大学,普通,1,,不限,历史,30,552,13882,5500,其他,否,555edu 逐校
,,深圳大学,普通,428,,首选历史，再选不限,历史,30,588,4763,5500,其他,否,555edu 逐校
,,广东财经大学,普通,428,,首选历史，再选不限,历史,30,558,11817,5500,其他,否,555edu 逐校
,,广东白云学院,普通,428,,（218）,历史,30,473,58122,5500,其他,否,555edu 逐校
,,广东轻工职业技术大学,普通,428,,（204）,历史,30,498,40424,5500,其他,否,555edu 逐校
,,仲恺农业工程学院,普通,428,,（209）,历史,30,508,33849,5500,其他,否,555edu 逐校
,,广州航海学院,普通,428,,(211),历史,30,503,37317,5500,其他,否,555edu 逐校
,,广东警官学院,普通,428,,（202）,历史,30,531,22374,5500,其他,否,555edu 逐校
,,五邑大学,普通,428,,首选历史，再选不限,历史,30,518,28674,5500,其他,否,555edu 逐校
,,广东金融学院,普通,428,,（211）,历史,30,527,24224,5500,其他,否,555edu 逐校
,,嘉应学院,普通,428,,（218）,历史,30,504,36153,5500,其他,否,555edu 逐校
,,电子科技大学中山学院,普通,1,,不限,历史,30,475,56386,5500,其他,否,555edu 逐校
,,广州体育学院,普通,75,,（201）专业组,历史,30,503,37230,5500,其他,否,555edu 逐校
,,广东医科大学,普通,1,,化学,历史|化学,30,451,75514,5500,其他,否,555edu 逐校
,,肇庆学院,普通,428,,（206）,历史,30,511,32381,5500,其他,否,555edu 逐校
,,岭南师范学院,普通,428,,（201）,历史,30,520,27691,5500,其他,否,555edu 逐校
,,韩山师范学院,普通,428,,（220),历史,30,513,31289,5500,其他,否,555edu 逐校
,,惠州学院,普通,428,,（204）,历史,30,528,23757,5500,其他,否,555edu 逐校
,,韶关学院,普通,1,,不限,历史,30,499,39556,5500,其他,否,555edu 逐校
,,广东药科大学,普通,49,,首选历史，再选化学,历史,30,477,54870,5500,其他,否,555edu 逐校
,,广东药科大学,普通,71,,首选历史，再选不限,历史,30,499,39551,5500,其他,否,555edu 逐校
,,广州中医药大学,普通,1,,生物,历史|生物,30,532,21781,5500,其他,否,555edu 逐校
,,广州医科大学,普通,1,,化学,历史|化学,30,441,83666,5500,其他,否,555edu 逐校
,,广东海洋大学,普通,1,,不限,历史,30,513,31267,5500,其他,否,555edu 逐校
,,华南农业大学,普通,1,,政治,历史|政治,30,567,9437,5500,其他,否,555edu 逐校
,,华南理工大学,985,1,,不限,历史,30,606,2312,5500,广州,否,555edu 逐校
,,汕头大学,普通,1,,不限,历史,30,542,17624,5500,其他,否,555edu 逐校
,,东莞理工学院,普通,1,,不限,历史,30,514,30716,5500,其他,否,555edu 逐校
,,广东石油化工学院,普通,428,,（209）,历史,30,500,38962,5500,其他,否,555edu 逐校
,,暨南大学,211,1,,不限,历史,30,582,5912,5500,广州,否,555edu 逐校
,,广东工业大学,普通,428,,首选历史，再选不限,历史,30,549,15037,5500,其他,否,555edu 逐校
,,广东外语外贸大学,普通,428,,首选历史，再选不限,历史,30,557,12256,5500,其他,否,555edu 逐校
,,哈尔滨工业大学(深圳),985,428,,（201）,历史,30,610,1916,5500,其他,否,555edu 逐校
,,深圳技术大学,普通,428,,（204）,历史,30,543,17317,5500,其他,否,555edu 逐校
,,深圳北理莫斯科大学,普通,1,,不限,历史,30,555,12747,5500,其他,否,555edu 逐校
,,北京师范大学-香港浸会大学联合国际学院,普通,428,,(201),历史,30,569,8769,5500,其他,否,555edu 逐校
,,广东第二师范学院,普通,428,,首选历史，再选思想政治,历史,30,537,19757,5500,其他,否,555edu 逐校
,,广州新华学院,普通,428,,（201）,历史,30,478,54286,5500,其他,否,555edu 逐校
,,东莞城市学院,普通,428,,（208）,历史,30,442,82646,5500,其他,否,555edu 逐校
,,肇庆医学院,普通,1,,化学,历史|化学,30,447,78371,5500,其他,否,555edu 逐校
,,广东工商职业技术大学,普通,428,,（210),历史,30,428,96259,5500,其他,否,555edu 逐校
,,广东理工学院,普通,428,,（205),历史,30,428,96251,5500,其他,否,555edu 逐校
,,广东科技学院,普通,428,,（201）,历史,30,428,96257,5500,其他,否,555edu 逐校
,,广州科技职业技术大学,普通,442,,（204),历史,30,460,220926,5500,其他,否,555edu 逐校
,,广州工商学院,普通,428,,(206),历史,30,430,93512,5500,其他,否,555edu 逐校
,,珠海科技学院,普通,428,,(207),历史,30,487,47648,5500,其他,否,555edu 逐校
,,广州商学院,普通,428,,（201）,历史,30,460,68111,5500,其他,否,555edu 逐校
,,广州应用科技学院,普通,428,,（201）,历史,30,454,73119,5500,其他,否,555edu 逐校
,,广州华立学院,普通,428,,（209）,历史,30,428,96247,5500,其他,否,555edu 逐校
,,广州理工学院,普通,1,,不限,历史,30,431,93383,5500,其他,否,555edu 逐校
,,华南农业大学珠江学院,普通,1,,不限,历史,30,428,96151,5500,其他,否,555edu 逐校
,,湛江科技学院,普通,1,,不限,历史,30,428,96229,5500,其他,否,555edu 逐校
,,广州华商学院,普通,1,,不限,历史,30,436,88427,5500,其他,否,555edu 逐校
,,广东外语外贸大学南国商学院,普通,428,,首选历史，再选不限,历史,30,473,58085,5500,其他,否,555edu 逐校
,,广州南方学院,普通,1,,不限,历史,30,473,57564,5500,其他,否,555edu 逐校
,,广州软件学院,普通,428,,首选历史，再选不限,历史,30,464,64844,5500,其他,否,555edu 逐校
,,广州城市理工学院,普通,1,,不限,历史,30,483,50073,5500,其他,否,555edu 逐校
,,广东东软学院,普通,1,,不限,历史,30,462,65868,5500,其他,否,555edu 逐校
,,南方医科大学,普通,428,,首选历史，再选不限,历史,30,550,14665,5500,其他,否,555edu 逐校
,,广东培正学院,普通,1,,不限,历史,30,456,71172,5500,其他,否,555edu 逐校
,,佛山大学,普通,428,,首选历史，再选不限,历史,30,543,17374,5500,其他,否,555edu 逐校
,,中山大学,985,1,,不限,历史,30,618,1203,5500,广州,否,555edu 逐校
